timestamp,level,event,symbol,score,shares,entry,stop
2026-03-15 00:20:07,INFO,SYSTEM_START,,,,,
2026-03-15 00:20:08,WARN,Risk Guardian blocked trading,,,,,
2026-03-15 00:22:56,INFO,SYSTEM_START,,,,,
2026-03-15 00:22:57,WARN,Risk Guardian blocked trading,,,,,
2026-03-15 00:35:35,INFO,SYSTEM_START,,,,,
2026-03-15 00:35:36,WARN,Risk Guardian blocked trading,,,,,
2026-03-15 00:51:04,INFO,SYSTEM_START,,,,,
2026-03-15 00:51:04,WARN,Risk Guardian blocked trading,,,,,
2026-03-15 00:54:11,INFO,SYSTEM_START,,,,,
2026-03-15 00:54:12,WARN,Risk Guardian blocked trading,,,,,
2026-03-15 01:01:43,INFO,SYSTEM_START,,,,,
2026-03-15 01:01:43,WARN,Risk Guardian blocked trading,,,,,
2026-03-15 01:04:00,INFO,SYSTEM_START,,,,,
2026-03-15 01:04:01,WARN,Risk Guardian blocked trading,,,,,
2026-03-15 01:14:43,INFO,SYSTEM_START,,,,,
2026-03-15 01:14:43,WARN,Risk Guardian blocked trading,,,,,
2026-03-15 01:16:10,INFO,SYSTEM_START,,,,,
2026-03-15 01:16:10,WARN,Risk Guardian blocked trading,,,,,
2026-03-15 01:21:32,INFO,SYSTEM_START,,,,,
2026-03-15 01:21:32,WARN,Risk Guardian blocked trading,,,,,
2026-03-15 01:28:09,INFO,SYSTEM_START,,,,,
2026-03-15 01:28:09,WARN,Risk Guardian blocked trading,,,,,
2026-03-15 17:47:56,INFO,SYSTEM_START,,,,,
2026-03-15 17:47:56,CRITICAL,"SYSTEM FAILURE: [Errno 111] Connect call failed ('127.0.0.1', 7497)",,,,,
2026-03-15 17:48:49,INFO,SYSTEM_START,,,,,
2026-03-15 17:48:50,WARN,Risk Guardian blocked trading,,,,,
